epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8435.88,1.44682,0.74544,0.99266,0.83912,0.57103,0.6532,0.3559,1.37269,0.63981,0.99108,0.00741194,0.00741194,0.00741194
43,8636.83,1.44881,0.7481,0.98934,0.83816,0.57467,0.65517,0.35806,1.36923,0.63784,0.99151,0.00729725,0.00729725,0.00729725
44,8836.92,1.44354,0.74406,0.99035,0.83535,0.57466,0.65476,0.35801,1.36756,0.63755,0.99007,0.00718103,0.00718103,0.00718103
45,9036.91,1.43959,0.74075,0.9877,0.83694,0.57544,0.65558,0.35892,1.36792,0.63574,0.98984,0.00706335,0.00706335,0.00706335
46,9237.08,1.43643,0.73655,0.99095,0.84384,0.57504,0.65766,0.36075,1.36684,0.63203,0.99113,0.00694428,0.00694428,0.00694428
47,9436.87,1.44188,0.7404,0.98602,0.83969,0.57671,0.65733,0.35992,1.36563,0.63165,0.99039,0.00682392,0.00682392,0.00682392
48,9636.85,1.42873,0.7325,0.98601,0.83839,0.57707,0.65811,0.36053,1.364,0.63022,0.98895,0.00670234,0.00670234,0.00670234
49,9835.49,1.43015,0.73409,0.98816,0.8397,0.57848,0.65855,0.36116,1.36014,0.62958,0.98761,0.00657963,0.00657963,0.00657963
50,10035.6,1.43581,0.73302,0.98433,0.84226,0.57809,0.65948,0.36169,1.35987,0.62732,0.98563,0.00645588,0.00645588,0.00645588
51,10236.3,1.43411,0.73193,0.98742,0.84436,0.57861,0.66097,0.36235,1.35992,0.62632,0.98639,0.00633115,0.00633115,0.00633115
52,10435.9,1.429,0.73157,0.98357,0.84167,0.58033,0.66257,0.36319,1.35929,0.62496,0.98581,0.00620555,0.00620555,0.00620555
53,10635.4,1.42792,0.72559,0.98585,0.84411,0.57888,0.66224,0.36306,1.35862,0.62367,0.98637,0.00607916,0.00607916,0.00607916
54,10834.9,1.43508,0.73122,0.98421,0.84375,0.58005,0.66263,0.36324,1.35811,0.62401,0.98611,0.00595207,0.00595207,0.00595207
55,11033.1,1.41686,0.72159,0.98516,0.84516,0.57955,0.66334,0.36378,1.35752,0.62336,0.9865,0.00582435,0.00582435,0.00582435
56,11232.8,1.42354,0.72369,0.98399,0.84685,0.58058,0.66482,0.36437,1.35731,0.62218,0.98582,0.0056961,0.0056961,0.0056961
57,11433.3,1.42432,0.72154,0.98104,0.8463,0.5807,0.66483,0.36465,1.35724,0.62183,0.98545,0.00556742,0.00556742,0.00556742
58,11632.9,1.41457,0.71767,0.97808,0.84419,0.58242,0.66522,0.3651,1.35672,0.62054,0.98472,0.00543837,0.00543837,0.00543837
59,11832.1,1.41132,0.7162,0.97829,0.84589,0.5821,0.66573,0.36575,1.35622,0.61966,0.98374,0.00530906,0.00530906,0.00530906
60,12030.6,1.40431,0.70896,0.97965,0.85125,0.57967,0.6663,0.36611,1.35551,0.61892,0.98341,0.00517958,0.00517958,0.00517958
61,12229.4,1.4094,0.7109,0.97615,0.84955,0.58156,0.66682,0.36645,1.35454,0.61803,0.98293,0.00505,0.00505,0.00505
62,12427.7,1.39211,0.69844,0.97544,0.85014,0.58151,0.66735,0.36656,1.35372,0.61683,0.98244,0.00492042,0.00492042,0.00492042
63,12627.6,1.41032,0.71112,0.97621,0.84797,0.58242,0.66746,0.36695,1.35352,0.61658,0.98188,0.00479094,0.00479094,0.00479094
64,12828.4,1.40782,0.70694,0.97515,0.84823,0.58368,0.66804,0.36697,1.3534,0.61575,0.98183,0.00466163,0.00466163,0.00466163
65,13027.3,1.3979,0.70138,0.97471,0.84946,0.5839,0.66843,0.36664,1.35324,0.61523,0.9814,0.00453258,0.00453258,0.00453258
66,13227,1.4027,0.70217,0.97414,0.84937,0.58408,0.66854,0.36699,1.35265,0.61433,0.9811,0.0044039,0.0044039,0.0044039
67,13426.7,1.40148,0.7014,0.97475,0.8495,0.5841,0.66908,0.3673,1.35217,0.6136,0.98108,0.00427565,0.00427565,0.00427565
68,13625.7,1.39517,0.69502,0.97531,0.84884,0.58428,0.66921,0.36745,1.35196,0.61308,0.98109,0.00414793,0.00414793,0.00414793
69,13825.2,1.39084,0.69035,0.97115,0.84996,0.58424,0.66925,0.36774,1.35182,0.61228,0.98091,0.00402084,0.00402084,0.00402084
70,14023.7,1.39585,0.69869,0.97345,0.84813,0.58524,0.66922,0.36794,1.35147,0.61185,0.98066,0.00389445,0.00389445,0.00389445
71,14223.5,1.39471,0.69341,0.97273,0.8493,0.58468,0.66931,0.36807,1.35141,0.61143,0.98061,0.00376885,0.00376885,0.00376885
72,14424.5,1.38963,0.68932,0.96771,0.84981,0.58512,0.66947,0.36812,1.35143,0.61096,0.98066,0.00364412,0.00364412,0.00364412
73,14624.2,1.37757,0.68564,0.96806,0.85127,0.58536,0.66983,0.36813,1.351,0.61007,0.98054,0.00352037,0.00352037,0.00352037
74,14824.3,1.38993,0.68903,0.96937,0.85228,0.58511,0.6699,0.36806,1.35082,0.60979,0.98062,0.00339766,0.00339766,0.00339766
75,15022.9,1.38433,0.68461,0.96801,0.85295,0.58501,0.67023,0.36835,1.35057,0.60917,0.98049,0.00327608,0.00327608,0.00327608
76,15223,1.38508,0.68344,0.96592,0.85185,0.58589,0.67072,0.36858,1.3504,0.60886,0.98023,0.00315572,0.00315572,0.00315572
77,15422.4,1.37021,0.67797,0.96648,0.85263,0.58619,0.67124,0.36893,1.35044,0.60876,0.98024,0.00303665,0.00303665,0.00303665
78,15621.8,1.37328,0.67809,0.96487,0.85158,0.58672,0.67117,0.36885,1.35048,0.60858,0.98022,0.00291897,0.00291897,0.00291897
79,15820.9,1.37015,0.6733,0.96483,0.85151,0.58708,0.67154,0.36908,1.35024,0.60828,0.98011,0.00280275,0.00280275,0.00280275
80,16020.1,1.37162,0.67611,0.96588,0.85259,0.587,0.67184,0.36924,1.35016,0.60793,0.98014,0.00268806,0.00268806,0.00268806
81,16220.3,1.36904,0.67173,0.96309,0.85058,0.58795,0.672,0.36954,1.35012,0.6075,0.98014,0.002575,0.002575,0.002575
82,16420.4,1.36513,0.67033,0.96166,0.84948,0.58816,0.67201,0.36965,1.34994,0.60729,0.97998,0.00246363,0.00246363,0.00246363
83,16619.6,1.35803,0.66512,0.96224,0.84992,0.58833,0.67208,0.36998,1.3497,0.60706,0.97984,0.00235404,0.00235404,0.00235404
84,16820.2,1.36256,0.66493,0.96114,0.85099,0.58826,0.6725,0.36986,1.34969,0.60685,0.97977,0.00224629,0.00224629,0.00224629
85,17019.7,1.36333,0.6661,0.96206,0.85164,0.58796,0.67233,0.36996,1.34959,0.60665,0.97978,0.00214046,0.00214046,0.00214046
86,17219.3,1.35882,0.6634,0.96098,0.85077,0.58861,0.67291,0.37019,1.34943,0.60623,0.97972,0.00203663,0.00203663,0.00203663
87,17419,1.35349,0.66052,0.95918,0.85063,0.58871,0.67295,0.37032,1.34915,0.60607,0.97954,0.00193486,0.00193486,0.00193486
88,17618.6,1.35531,0.66155,0.95949,0.85038,0.58922,0.67338,0.37052,1.3493,0.60603,0.97957,0.00183523,0.00183523,0.00183523
